Gene,OMIM_en,OMIM_cn
NYS7,"Nystagmus 7, congenital, autosomal dominant(OMIM:614826, AD)","眼球震颤 7，先天性，常染色体显性遗传(OMIM:614826, AD)"
NFE2L2,"Immunodeficiency, developmental delay, and hypohomocysteinemia(OMIM:617744, AD)","免疫缺陷、发育迟缓和低同型半胱氨酸血症(OMIM:617744, AD)"
OR2J3,"[C3HEX, ability to smell](OMIM:615082, AD)","[C3HEX，嗅觉能力](OMIM:615082, AD)"
NDUFAF3,"Mitochondrial complex I deficiency, nuclear type 18(OMIM:618240, AR)","线粒体复合体 I 缺乏症，核型 18(OMIM:618240, AR)"
PAK1,"Intellectual developmental disorder with macrocephaly, seizures, and speech delay(OMIM:618158, AD)","伴有大头畸形、癫痫发作和言语迟缓的智力发育障碍(OMIM:618158, AD)"
NDRG1,"Charcot-Marie-Tooth disease, type 4D(OMIM:601455, AR)","Charcot-Marie-Tooth 病，4D 型(OMIM:601455, AR)"
TOGARAM1,"Joubert syndrome 37(OMIM:619185, AR)","Joubert 综合征 37(OMIM:619185, AR)"
TMEM216,"Meckel syndrome 2(OMIM:603194, AR);Joubert syndrome 2(OMIM:608091, AR)","梅克尔综合征 2(OMIM:603194, AR);Joubert 综合征 2(OMIM:608091, AR)"
EPRS,"Leukodystrophy, hypomyelinating, 15(OMIM:617951, AR)","白细胞营养不良，髓鞘功能减退，15(OMIM:617951, AR)"
NDUFC2,"Mitochondrial complex I deficiency, nuclear type 36(OMIM:619170, AR)","线粒体复合体 I 缺乏症，核型 36(OMIM:619170, AR)"
COX16,"Mitochondrial complex IV deficiency, nuclear type 22(OMIM:619355, AR)","线粒体复合体 IV 缺陷，核型 22(OMIM:619355, AR)"
MATR3,"Amyotrophic lateral sclerosis 21(OMIM:606070, AD)","肌萎缩侧索硬化症 21(OMIM:606070, AD)"
ROR2,"Brachydactyly, type B1(OMIM:113000, AD);Robinow syndrome, autosomal recessive(OMIM:268310, AR)","短指，B1型(OMIM:113000, AD);Robinow 综合征，常染色体隐性遗传(OMIM:268310, AR)"
PEX16,"Peroxisome biogenesis disorder 8A (Zellweger)(OMIM:614876, AR);Peroxisome biogenesis disorder 8B(OMIM:614877, AR)","过氧化物酶体生物发生障碍 8A (Zellweger)(OMIM:614876, AR);过氧化物酶体生物发生障碍 8B(OMIM:614877, AR)"
NLGN1,"{Autism, susceptibility to, 20}(OMIM:618830, AD)","{自闭症，易感性，20}(OMIM:618830, AD)"
RLBP1,"Retinitis punctata albescens(OMIM:136880, AD, AR);Fundus albipunctatus(OMIM:136880, AD, AR);Bothnia retinal dystrophy(OMIM:607475, AR);Newfoundland rod-cone dystrophy(OMIM:607476, nan)","白点视网膜炎(OMIM:136880, AD, AR);农场(OMIM:136880, AD, AR);Bothnia视网膜营养不良(OMIM:607475, AR);纽芬兰视杆锥细胞营养不良(OMIM:607476, nan)"
HLA-B,"{Spondyloarthropathy, susceptibility to, 1}(OMIM:106300, Mu);{Toxic epidermal necrolysis, susceptibility to}(OMIM:608579, nan);{Stevens-Johnson syndrome, susceptibility to}(OMIM:608579, nan)","{脊柱关节病，易感性，1}(OMIM:106300, Mu);{毒性表皮坏死松解症，易感性}(OMIM:608579, nan);{史蒂文斯-约翰逊综合征，易感性}(OMIM:608579, nan)"
UFM1,"Leukodystrophy, hypomyelinating, 14(OMIM:617899, AR)","白质营养不良，髓鞘发育不良，14(OMIM:617899, AR)"
CCBE1,"Hennekam lymphangiectasia-lymphedema syndrome 1(OMIM:235510, AR)","Hennekam 淋巴管扩张症-淋巴水肿综合征 1(OMIM:235510, AR)"
TRRAP,"Developmental delay with or without dysmorphic facies and autism(OMIM:618454, AD);?Deafness, autosomal dominant 75(OMIM:618778, AD)","发育迟缓伴或不伴畸形面容和自闭症(OMIM:618454, AD);?耳聋，常染色体显性遗传 75(OMIM:618778, AD)"
PADI3,"Uncombable hair syndrome(OMIM:191480, AR)","乱发综合症(OMIM:191480, AR)"
SUMF1,"Multiple sulfatase deficiency(OMIM:272200, AR)","多重硫酸酯酶缺乏症(OMIM:272200, AR)"
PRODH,"Hyperprolinemia, type I(OMIM:239500, AR);{Schizophrenia, susceptibility to, 4}(OMIM:600850, AD)","高脯氨酸血症，I型(OMIM:239500, AR);{精神分裂症，易感性，4}(OMIM:600850, AD)"
SLC10A7,"Short stature, amelogenesis imperfecta, and skeletal dysplasia with scoliosis(OMIM:618363, AR)","身材矮小、牙釉质发育不全和伴有脊柱侧凸的骨骼发育不良(OMIM:618363, AR)"
MAF,"Ayme-Gripp syndrome(OMIM:601088, AD);Cataract 21, multiple types(OMIM:610202, AD)","Ayme-Gripp 综合征(OMIM:601088, AD);白内障 21，多种类型(OMIM:610202, AD)"
SLC28A1,"[Uridine-cytidineuria](OMIM:618477, AR)","[尿苷-胞苷尿](OMIM:618477, AR)"
RNF168,"RIDDLE syndrome(OMIM:611943, AR)","谜语综合症(OMIM:611943, AR)"
SVBP,"Neurodevelopmental disorder with ataxia, hypotonia, and microcephaly(OMIM:618569, AR)","伴有共济失调、张力减退和小头畸形的神经发育障碍(OMIM:618569, AR)"
CCDC103,"Ciliary dyskinesia, primary, 17(OMIM:614679, AR)","纤毛运动障碍，原发性，17(OMIM:614679, AR)"
ADH1C,"{Alcohol dependence, protection against}(OMIM:103780, Mu);{Parkinson disease, susceptibility to}(OMIM:168600, AD, Mu)","{酒精依赖，预防}(OMIM:103780, Mu);{帕金森病，易感性}(OMIM:168600, AD, Mu)"
GFI1,"?Neutropenia, nonimmune chronic idiopathic, of adults(OMIM:607847, AD);Neutropenia, severe congenital 2, autosomal dominant(OMIM:613107, AD)","?成人中性粒细胞减少症，非免疫性慢性特发性(OMIM:607847, AD);中性粒细胞减少症，重度先天性 2，常染色体显性遗传(OMIM:613107, AD)"
SCP2,"?Leukoencephalopathy with dystonia and motor neuropathy(OMIM:613724, AR)","?伴有肌张力障碍和运动神经病的白质脑病(OMIM:613724, AR)"
NAA10,"Microphthalmia, syndromic 1(OMIM:309800, XL);Ogden syndrome(OMIM:300855, XLD, XLR)","小眼症，综合征 1(OMIM:309800, XL);奥格登综合征(OMIM:300855, XLD, XLR)"
WNT2B,"Diarrhea 9(OMIM:618168, AR)","腹泻 9(OMIM:618168, AR)"
ZNF513,"?Retinitis pigmentosa 58(OMIM:613617, AR)","?色素性视网膜炎 58(OMIM:613617, AR)"
ADRB3,"{Obesity, susceptibility to}(OMIM:601665, AD, AR, Mu)","{肥胖，易感性}(OMIM:601665, AD, AR, Mu)"
SBF1,"Charcot-Marie-Tooth disease, type 4B3(OMIM:615284, AR)","Charcot-Marie-Tooth 病，4B3 型(OMIM:615284, AR)"
ESPN,"Deafness, autosomal recessive 36(OMIM:609006, AR);Deafness, neurosensory, without vestibular involvement, autosomal dominant(OMIM:609006, AR);?Usher syndrome, type 1M(OMIM:618632, AR)","耳聋，常染色体隐性遗传 36(OMIM:609006, AR);耳聋，神经感觉，无前庭受累，常染色体显性遗传(OMIM:609006, AR);? Usher 综合征，1M 型(OMIM:618632, AR)"
PHF8,"Intellectual developmental disorder, X-linked, syndromic, Siderius type(OMIM:300263, XLR)","智力发育障碍，X连锁，综合征，Siderius型(OMIM:300263, XLR)"
TBC1D2B,"Neurodevelopmental disorder with seizures and gingival overgrowth(OMIM:619323, AR)","伴有癫痫发作和牙龈过度生长的神经发育障碍(OMIM:619323, AR)"
IDH3A,"Retinitis pigmentosa 90(OMIM:619007, AR)","视网膜色素变性 90(OMIM:619007, AR)"
CACNA1A,"Episodic ataxia, type 2(OMIM:108500, AD);Spinocerebellar ataxia 6(OMIM:183086, AD);Migraine, familial hemiplegic, 1(OMIM:141500, AD);Migraine, familial hemiplegic, 1, with progressive cerebellar ataxia(OMIM:141500, AD);Developmental and epileptic encephalopathy 42(OMIM:617106, AD)","发作性共济失调，2 型(OMIM:108500, AD);脊髓小脑共济失调 6(OMIM:183086, AD);偏头痛，家族性偏瘫，1(OMIM:141500, AD);偏头痛，家族性偏瘫，1，伴有进行性小脑性共济失调(OMIM:141500, AD);发育性和癫痫性脑病 42(OMIM:617106, AD)"
CNTNAP2,"Pitt-Hopkins like syndrome 1(OMIM:610042, AR);{Autism susceptibility 15}(OMIM:612100, nan)","Pitt-Hopkins 样综合征 1(OMIM:610042, AR);{自闭症易感性 15}(OMIM:612100, nan)"
TIMP3,"Sorsby fundus dystrophy(OMIM:136900, AD)","Sorsby 眼底营养不良(OMIM:136900, AD)"
PTPRF,"?Breasts and/or nipples, aplasia or hypoplasia of, 2(OMIM:616001, AR)","?乳房和/或乳头，发育不全或发育不全，2(OMIM:616001, AR)"
YAP1,"Coloboma, ocular, with or without hearing impairment, cleft lip/palate, and/or mental retardation(OMIM:120433, AD)","眼部缺损，有或没有听力障碍、唇裂/腭裂和/或智力低下(OMIM:120433, AD)"
KRT85,"Ectodermal dysplasia 4, hair/nail type(OMIM:602032, AR)","外胚层发育不良 4，毛发/指甲型(OMIM:602032, AR)"
PITRM1,"Spinocerebellar ataxia, autosomal recessive 30(OMIM:619405, AR)","脊髓小脑性共济失调，常染色体隐性遗传 30(OMIM:619405, AR)"
GDF2,"Telangiectasia, hereditary hemorrhagic, type 5(OMIM:615506, AD)","毛细血管扩张症，遗传性出血，5型(OMIM:615506, AD)"
CYP21A2,"Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency(OMIM:201910, AR);Hyperandrogenism, nonclassic type, due to 21-hydroxylase deficiency(OMIM:201910, AR)","肾上腺增生，先天性，由于 21-羟化酶缺乏(OMIM:201910, AR);21-羟化酶缺乏症，非经典型雄激素过多症(OMIM:201910, AR)"
MYL1,"Myopathy, congenital, with fast-twitch (type II) fiber atrophy(OMIM:618414, AR)","肌病，先天性，伴有快肌（II 型）纤维萎缩(OMIM:618414, AR)"
RAX,"Microphthalmia, isolated 3(OMIM:611038, AR)","小眼病，孤立 3(OMIM:611038, AR)"
TAT,"Tyrosinemia, type II(OMIM:276600, AR)","酪氨酸血症，II型(OMIM:276600, AR)"
ACER3,"?Leukodystrophy, progressive, early childhood-onset(OMIM:617762, AR)","?白细胞营养不良，进行性，儿童早期发病(OMIM:617762, AR)"
APP,"Alzheimer disease 1, familial(OMIM:104300, AD);Cerebral amyloid angiopathy, Dutch, Italian, Iowa, Flemish, Arctic variants(OMIM:605714, AD)","阿尔茨海默病 1，家族性(OMIM:104300, AD);脑淀粉样血管病，荷兰语，意大利语，爱荷华州，佛兰芒语，北极变体(OMIM:605714, AD)"
KRT3,"Meesmann corneal dystrophy 2(OMIM:618767, AD)","Meesmann 角膜营养不良 2(OMIM:618767, AD)"
FLT4,"Lymphatic malformation 1(OMIM:153100, AD);Hemangioma, capillary infantile, somatic(OMIM:602089, nan);Congenital heart defects, multiple types, 7(OMIM:618780, AD)","淋巴畸形1(OMIM:153100, AD);血管瘤，毛细血管婴儿，体细胞(OMIM:602089, nan);先天性心脏缺陷，多种类型，7(OMIM:618780, AD)"
HCCS,"Linear skin defects with multiple congenital anomalies 1(OMIM:309801, XLD)","具有多个先天性异常的线性皮肤缺陷 1(OMIM:309801, XLD)"
ABCB11,"Cholestasis, progressive familial intrahepatic 2(OMIM:601847, AR);Cholestasis, benign recurrent intrahepatic, 2(OMIM:605479, AR)","胆汁淤积，进行性家族性肝内 2(OMIM:601847, AR);胆汁淤积，良性复发性肝内，2(OMIM:605479, AR)"
MYOC,"Glaucoma 1A, primary open angle(OMIM:137750, AD)","青光眼 1A，原发性开角(OMIM:137750, AD)"
ELMOD3,"?Deafness, autosomal recessive 88(OMIM:615429, AR);?Deafness, autosomal dominant 81(OMIM:619500, AD)","?耳聋，常染色体隐性遗传 88(OMIM:615429, AR);?耳聋，常染色体显性遗传 81(OMIM:619500, AD)"
RAD51C,"Fanconi anemia, complementation group O(OMIM:613390, AR);{Breast-ovarian cancer, familial, susceptibility to, 3}(OMIM:613399, nan)","范可尼贫血，互补组 O(OMIM:613390, AR);{乳腺癌，家族性，易感性，3}(OMIM:613399, nan)"
AA2,"Alopecia areata 2(OMIM:610753, AD, AR)","斑秃2(OMIM:610753, AD, AR)"
CDKN1B,"Multiple endocrine neoplasia, type IV(OMIM:610755, AD)","多发性内分泌肿瘤，IV型(OMIM:610755, AD)"
ARFGEF2,"Periventricular heterotopia with microcephaly(OMIM:608097, AR)","脑室周围异位伴小头畸形(OMIM:608097, AR)"
TFAP2A,"Branchiooculofacial syndrome(OMIM:113620, AD)","鳃面综合征(OMIM:113620, AD)"
SCA30,"?Spinocerebellar ataxia 30(OMIM:613371, AD)","?脊髓小脑性共济失调 30(OMIM:613371, AD)"
IRF2BP2,"?Immunodeficiency, common variable, 14(OMIM:617765, AD)","? 免疫缺陷，共同变量，14(OMIM:617765, AD)"
IFNG,"{Tuberculosis, protection against}(OMIM:607948, nan);{Aplastic anemia}(OMIM:609135, nan);{AIDS, rapid progression to}(OMIM:609423, nan);{Hepatitis C virus, response to therapy of}(OMIM:609532, nan);{TSC2 angiomyolipomas, renal, modifier of}(OMIM:613254, AD);?Immunodeficiency 69, mycobacteriosis(OMIM:618963, AR)","{结核病，预防}(OMIM:607948, nan);{再生障碍性贫血}(OMIM:609135, nan);{艾滋病，迅速发展到}(OMIM:609423, nan);{丙型肝炎病毒，对治疗的反应}(OMIM:609532, nan);{TSC2 血管平滑肌脂肪瘤，肾，修饰因子}(OMIM:613254, AD);?免疫缺陷69，分枝杆菌病(OMIM:618963, AR)"
SALL4,"?IVIC syndrome(OMIM:147750, AD);Duane-radial ray syndrome(OMIM:607323, AD)","?IVIC 综合征(OMIM:147750, AD);Duane放射线综合征(OMIM:607323, AD)"
GGT1,"?Glutathioninuria(OMIM:231950, AR)","?谷胱甘肽尿(OMIM:231950, AR)"
SLC52A1,"Riboflavin deficiency(OMIM:615026, AD)","核黄素缺乏症(OMIM:615026, AD)"
SLC17A9,"Porokeratosis 8, disseminated superficial actinic type(OMIM:616063, AD)","汗孔角化症 8，播散性浅表光化型(OMIM:616063, AD)"
NUP85,"Nephrotic syndrome, type 17(OMIM:618176, AR)","肾病综合征，17 型(OMIM:618176, AR)"
EA8,"Episodic ataxia, type 8(OMIM:616055, AD)","发作性共济失调，8 型(OMIM:616055, AD)"
GALC,"Krabbe disease(OMIM:245200, AR)","蟹病(OMIM:245200, AR)"
SH3PXD2B,"Frank-ter Haar syndrome(OMIM:249420, AR)","弗兰克特哈尔综合征(OMIM:249420, AR)"
ALX4,"Parietal foramina 2(OMIM:609597, AD);Frontonasal dysplasia 2(OMIM:613451, AR);{Craniosynostosis 5, susceptibility to}(OMIM:615529, AD)","顶叶孔 2(OMIM:609597, AD);额鼻发育不良 2(OMIM:613451, AR);{颅缝早闭 5，易感性}(OMIM:615529, AD)"
WNK4,"Pseudohypoaldosteronism, type IIB(OMIM:614491, AD)","假性醛固酮减少症，IIB 型(OMIM:614491, AD)"
TRIP13,"Mosaic variegated aneuploidy syndrome 3(OMIM:617598, AR);Oocyte maturation defect 9(OMIM:619011, AR)","马赛克杂色非整倍体综合征 3(OMIM:617598, AR);卵母细胞成熟缺陷 9(OMIM:619011, AR)"
GALNS,"Mucopolysaccharidosis IVA(OMIM:253000, AR)","粘多糖贮积症IVA(OMIM:253000, AR)"
ITGA7,"Muscular dystrophy, congenital, due to ITGA7 deficiency(OMIM:613204, AR)","肌营养不良，先天性，由于 ITGA7 缺乏(OMIM:613204, AR)"
STX1B,"Generalized epilepsy with febrile seizures plus, type 9(OMIM:616172, AD)","全身性癫痫伴热性惊厥加，9 型(OMIM:616172, AD)"
GCSH,"?Glycine encephalopathy(OMIM:605899, AR)","?甘氨酸脑病(OMIM:605899, AR)"
RBM12,"{Schizophrenia 19, susceptibility to}(OMIM:617629, AD)","{精神分裂症 19，易感性}(OMIM:617629, AD)"
KIAA1109,"Alkuraya-Kucinskas syndrome(OMIM:617822, AR)","阿尔库拉亚-库钦斯克综合征(OMIM:617822, AR)"
ATP5F1D,"Mitochondrial complex V (ATP synthase) deficiency(OMIM:618120, AR)","线粒体复合物 V（ATP 合酶）缺乏症(OMIM:618120, AR)"
AVP,"Diabetes insipidus, neurohypophyseal(OMIM:125700, AD)","尿崩症、神经垂体(OMIM:125700, AD)"
PRKAG2,"Wolff-Parkinson-White syndrome(OMIM:194200, AD);Glycogen storage disease of heart, lethal congenital(OMIM:261740, AD);Cardiomyopathy, hypertrophic 6(OMIM:600858, AD)","沃尔夫-帕金森-怀特综合征(OMIM:194200, AD);心脏糖原贮积病，致死性先天性(OMIM:261740, AD);心肌病，肥厚 6(OMIM:600858, AD)"
TBCD,"Encephalopathy, progressive, early-onset, with brain atrophy and thin corpus callosum(OMIM:617193, AR)","脑病，进行性，早发，伴有脑萎缩和胼胝体薄(OMIM:617193, AR)"
KRT6B,"Pachyonychia congenita 4(OMIM:615728, AD)","先天性厚甲症 4(OMIM:615728, AD)"
SLC25A24,"Fontaine progeroid syndrome(OMIM:612289, AD)","方丹早衰综合征(OMIM:612289, AD)"
CCDC39,"Ciliary dyskinesia, primary, 14(OMIM:613807, AR)","纤毛运动障碍，原发性，14(OMIM:613807, AR)"
ASCC1,"Barrett esophagus/esophageal adenocarcinoma(OMIM:614266, nan);Spinal muscular atrophy with congenital bone fractures 2(OMIM:616867, AR)","Barrett食管/食管腺癌(OMIM:614266, nan);脊髓性肌萎缩伴先天性骨折 2(OMIM:616867, AR)"
SNRNP200,"Retinitis pigmentosa 33(OMIM:610359, AD)","色素性视网膜炎 33(OMIM:610359, AD)"
CHMP1A,"Pontocerebellar hypoplasia, type 8(OMIM:614961, AR)","脑桥小脑发育不全，8型(OMIM:614961, AR)"
TMEM67,"COACH syndrome 1(OMIM:216360, AR);?RHYNS syndrome(OMIM:602152, AR);Meckel syndrome 3(OMIM:607361, AR);Joubert syndrome 6(OMIM:610688, AR);Nephronophthisis 11(OMIM:613550, AR);{Bardet-Biedl syndrome 14, modifier of}(OMIM:615991, AR)","教练综合征 1(OMIM:216360, AR);?RHYNS 综合征(OMIM:602152, AR);梅克尔综合征 3(OMIM:607361, AR);Joubert 综合征 6(OMIM:610688, AR);肾痨 11(OMIM:613550, AR);{Bardet-Biedl 综合征 14，修饰词}(OMIM:615991, AR)"
OTULIN,"Autoinflammation, panniculitis, and dermatosis syndrome(OMIM:617099, AR)","自身炎症、脂膜炎和皮肤病综合征(OMIM:617099, AR)"
HTRA1,"CARASIL syndrome(OMIM:600142, AR);{Macular degeneration, age-related, 7}(OMIM:610149, nan);{Macular degeneration, age-related, neovascular type}(OMIM:610149, nan);Cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 2(OMIM:616779, AD)","CARASIL 综合征(OMIM:600142, AR);{黄斑变性，年龄相关，7}(OMIM:610149, nan);{黄斑变性、年龄相关、新生血管型}(OMIM:610149, nan);脑动脉病，常染色体显性遗传，伴皮层下梗死和白质脑病，2 型(OMIM:616779, AD)"
WDR73,"Galloway-Mowat syndrome 1(OMIM:251300, AR)","加洛韦-莫瓦特综合征 1(OMIM:251300, AR)"
RELB,"?Immunodeficiency 53(OMIM:617585, AR)","?免疫缺陷 53(OMIM:617585, AR)"
IFITM5,"Osteogenesis imperfecta, type V(OMIM:610967, AD)","成骨不全症，V型(OMIM:610967, AD)"
FAM20C,"Raine syndrome(OMIM:259775, AR)","雷恩综合征(OMIM:259775, AR)"
MAD1L1,"Prostate cancer, somatic(OMIM:176807, nan)","前列腺癌，体细胞(OMIM:176807, nan)"
KITLG,"Hyperpigmentation with or without hypopigmentation(OMIM:145250, AD);[Skin/hair/eye pigmentation 7, blond/brown hair](OMIM:611664, nan);Deafness, autosomal dominant 69, unilateral or asymmetric(OMIM:616697, AD)","有或没有色素减退的色素沉着过度(OMIM:145250, AD);[皮肤/头发/眼睛色素沉着7，金发/棕色头发](OMIM:611664, nan);耳聋，常染色体显性遗传 69，单侧或不对称(OMIM:616697, AD)"
INAVA,"{Inflammatory bowel disease 29}(OMIM:618077, AD)","{炎症性肠病 29}(OMIM:618077, AD)"
PLS3,"Bone mineral density QTL18, osteoporosis(OMIM:300910, XLD)","骨矿物质密度 QTL18，骨质疏松症(OMIM:300910, XLD)"
NEK9,"?Arthrogryposis, Perthes disease, and upward gaze palsy(OMIM:614262, AR);Lethal congenital contracture syndrome 10(OMIM:617022, AR);Nevus comedonicus, somatic(OMIM:617025, nan)","? 关节弯曲、Perthes 病和仰视麻痹(OMIM:614262, AR);致死性先天性挛缩综合征 10(OMIM:617022, AR);粉刺痣，体细胞(OMIM:617025, nan)"
ACSF3,"Combined malonic and methylmalonic aciduria(OMIM:614265, nan)","合并丙二酸和甲基丙二酸尿症(OMIM:614265, nan)"
F2,"Thrombophilia 1 due to thrombin defect(OMIM:188050, AD);{Stroke, ischemic, susceptibility to}(OMIM:601367, Mu);Dysprothrombinemia(OMIM:613679, AR);Hypoprothrombinemia(OMIM:613679, AR);{Pregnancy loss, recurrent, susceptibility to, 2}(OMIM:614390, AD)","凝血酶缺陷引起的血栓形成倾向 1(OMIM:188050, AD);{中风、缺血性、易感性}(OMIM:601367, Mu);凝血酶原异常(OMIM:613679, AR);低凝血酶原血症(OMIM:613679, AR);{妊娠丢失，复发性，易感性，2}(OMIM:614390, AD)"
ATIC,"AICA-ribosiduria due to ATIC deficiency(OMIM:608688, AR)","由于 ATIC 缺乏导致的 AICA-核糖尿(OMIM:608688, AR)"
GALE,"Galactose epimerase deficiency(OMIM:230350, AR)","半乳糖差向异构酶缺乏症(OMIM:230350, AR)"
FSHR,"Ovarian dysgenesis 1(OMIM:233300, AR);Ovarian response to FSH stimulation(OMIM:276400, AR);Ovarian hyperstimulation syndrome(OMIM:608115, AD)","卵巢发育不全1(OMIM:233300, AR);卵巢对 FSH 刺激的反应(OMIM:276400, AR);卵巢过度刺激综合征(OMIM:608115, AD)"
SFTPB,"Surfactant metabolism dysfunction, pulmonary, 1(OMIM:265120, AR)","表面活性剂代谢功能障碍，肺，1(OMIM:265120, AR)"
SLC26A8,"Spermatogenic failure 3(OMIM:606766, AD, AR)","生精失败 3(OMIM:606766, AD, AR)"
ATP1B1,"[Blood pressure regulation QTL](OMIM:145500, Mu)","[血压调节QTL](OMIM:145500, Mu)"
PPP1R12A,"Genitourinary and/or/brain malformation syndrome(OMIM:618820, AD)","泌尿生殖系统和/或/脑畸形综合征(OMIM:618820, AD)"
FCYT,"Polycystic kidney disease 4, with or without hepatic disease(OMIM:263200, AR)","多囊肾病 4，伴或不伴肝病(OMIM:263200, AR)"
CAPN1,"Spastic paraplegia 76, autosomal recessive(OMIM:616907, AR)","痉挛性截瘫 76，常染色体隐性遗传(OMIM:616907, AR)"
SERPINI1,"Encephalopathy, familial, with neuroserpin inclusion bodies(OMIM:604218, AD)","脑病，家族性，伴有神经丝氨酸包涵体(OMIM:604218, AD)"
PRKACB,"Cardioacrofacial dysplasia 2(OMIM:619143, AD, SMo)","心面发育不良2(OMIM:619143, AD, SMo)"
TDP1,"?Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 1(OMIM:607250, AR)","?脊髓小脑性共济失调，常染色体隐性遗传，伴有轴索性神经病 1(OMIM:607250, AR)"
CTNNA3,"Arrhythmogenic right ventricular dysplasia, familial, 13(OMIM:615616, AD)","致心律失常性右心室发育不良，家族性，13(OMIM:615616, AD)"
MYH7,"Laing distal myopathy(OMIM:160500, AD);Scapuloperoneal syndrome, myopathic type(OMIM:181430, AD);Cardiomyopathy, hypertrophic, 1(OMIM:192600, AD, DD);Myopathy, myosin storage, autosomal recessive(OMIM:255160, AR);Myopathy, myosin storage, autosomal dominant(OMIM:608358, AD);Cardiomyopathy, dilated, 1S(OMIM:613426, AD);Left ventricular noncompaction 5(OMIM:613426, AD)","Laing远端肌病(OMIM:160500, AD);肩胛骨综合征，肌病型(OMIM:181430, AD);心肌病，肥厚，1(OMIM:192600, AD, DD);肌病、肌球蛋白储存、常染色体隐性遗传(OMIM:255160, AR);肌病，肌球蛋白储存，常染色体显性遗传(OMIM:608358, AD);心肌病，扩张型，1S(OMIM:613426, AD);左心室致密化不全 5(OMIM:613426, AD)"
SOX18,"Hypotrichosis-lymphedema-telangiectasia-renal defect syndrome(OMIM:137940, AD);Hypotrichosis-lymphedema-telangiectasia syndrome(OMIM:607823, AR)","少毛症-淋巴水肿-毛细血管扩张症-肾缺陷综合征(OMIM:137940, AD);少毛症-淋巴水肿-毛细血管扩张综合征(OMIM:607823, AR)"
GAN,"Giant axonal neuropathy-1(OMIM:256850, AR)","巨大轴索性神经病-1(OMIM:256850, AR)"
MYOZ2,"Cardiomyopathy, hypertrophic, 16(OMIM:613838, AD)","心肌病，肥厚，16(OMIM:613838, AD)"
EYS,"Retinitis pigmentosa 25(OMIM:602772, AR)","色素性视网膜炎 25(OMIM:602772, AR)"
GLI3,"Polydactyly, preaxial, type IV(OMIM:174700, AD);Pallister-Hall syndrome(OMIM:146510, AD);Polydactyly, postaxial, types A1 and B(OMIM:174200, AD);Greig cephalopolysyndactyly syndrome(OMIM:175700, AD)","多指，前轴，IV型(OMIM:174700, AD);Pallister-Hall 综合征(OMIM:146510, AD);多指，后轴，A1 和 B 型(OMIM:174200, AD);Greig 头多并指综合征(OMIM:175700, AD)"
COQ4,"Coenzyme Q10 deficiency, primary, 7(OMIM:616276, AR)","辅酶 Q10 缺乏症，原发性，7(OMIM:616276, AR)"
BDPLT14,"Bleeding disorder, platelet-type, 14(OMIM:614158, AD)","出血性疾病，血小板型，14(OMIM:614158, AD)"
MLPH,"Griscelli syndrome, type 3(OMIM:609227, AR)","Griscelli 综合征，3 型(OMIM:609227, AR)"
SMAD7,"{Colorectal cancer, susceptibility to, 3}(OMIM:612229, nan)","{结直肠癌，易感性，3}(OMIM:612229, nan)"
BBS2,"Retinitis pigmentosa 74(OMIM:616562, AR);Bardet-Biedl syndrome 2(OMIM:615981, AR)","色素性视网膜炎 74(OMIM:616562, AR);Bardet-Biedl 综合征 2(OMIM:615981, AR)"
ERCC2,"Xeroderma pigmentosum, group D(OMIM:278730, AR);Trichothiodystrophy 1, photosensitive(OMIM:601675, AR);?Cerebrooculofacioskeletal syndrome 2(OMIM:610756, AR)","色素性干皮病，D组(OMIM:278730, AR);Trichothiodystrophy 1，光敏(OMIM:601675, AR);?脑筋面骨骼综合征2(OMIM:610756, AR)"
FANCE,"Fanconi anemia, complementation group E(OMIM:600901, AR)","Fanconi 贫血，E 组互补(OMIM:600901, AR)"
AFP,"Alpha-fetoprotein deficiency(OMIM:615969, AR);[Hereditary persistence of alpha-fetoprotein](OMIM:615970, AD)","甲胎蛋白缺乏症(OMIM:615969, AR);[甲胎蛋白的遗传持久性](OMIM:615970, AD)"
SLC45A1,"Intellectual developmental disorder with neuropsychiatric features(OMIM:617532, AR)","具有神经精神特征的智力发育障碍(OMIM:617532, AR)"
NEFH,"?{Amyotrophic lateral sclerosis, susceptibility to}(OMIM:105400, AD, AR);Charcot-Marie-Tooth disease, axonal, type 2CC(OMIM:616924, AD)","?{肌萎缩侧索硬化，易感性}(OMIM:105400, AD, AR);Charcot-Marie-Tooth 病，轴突，2CC 型(OMIM:616924, AD)"
SPEN,"Radio-Tartaglia syndrome(OMIM:619312, AD)","Radio-Tartaglia 综合征(OMIM:619312, AD)"
IRF1,"Nonsmall cell lung cancer, somatic(OMIM:211980, nan);Gastric cancer, somatic(OMIM:613659, nan)","非小细胞肺癌，体细胞(OMIM:211980, nan);胃癌，体细胞(OMIM:613659, nan)"
PPT1,"Ceroid lipofuscinosis, neuronal, 1(OMIM:256730, AR)","蜡样脂褐质沉着症，神经元，1(OMIM:256730, AR)"
